location,tag_number,distribution_a,broodstock_a,distribution_b,broodstock_b,distribution_c,broodstock_c,distribution_d,broodstock_d
Battery Park Conservancy,2,7/1/2019,,,,,,,
Battery Park Conservancy,3,7/1/2019,,,,,,,
Battery Park Conservancy,4,7/1/2019,,,,,,,
"Hudson River Park, Pier 40",6,,,,,,,,
"Hudson River Park, Pier 40",7,,,,,,,,
"Hudson River Park, Pier 40",8,,,,,,,,
"Hudson River Park, Pier 26",10,,,,,,,,
"Hudson River Park, Pier 84",11,,,,,,,,
"Hudson River Park, Pier 40",12,,,,,,,,
"Hudson River Park, Pier 40",13,7/16/2019,IC,,,,,,
Baylander at West Harlem Piers,16,,,,,,,,
Dobbs Ferry,17,,,,,,,,
Baylander at West Harlem Piers,18,10/27/2017,EB,,,,,,
Baylander at West Harlem Piers,20,3/28/2018,EB,,,,,,
Baylander at West Harlem Piers,21,,,,,,,,
"Hudson River Park, Pier 40",22,,,,,,,,
"Hudson River Park, Pier 84",23,,,,,,,,
"Hudson River Park, Pier 84",24,,,,,,,,
"Hudson River Park, Pier 26",31,,,,,,,,
"Riverside Park, Pier I",36,11/28/2017,MB,6/29/2018,EB,5/1/2019,MB ,,
Mill Pond Park,37,2/5/2018,MB,,,,,,
"Riverside Park, Pier I",38,,,,,,,,
"Riverside Park, Pier I",39,,,,,,,,
"Battery Park, Pier A",41,5/11/2018,MB,,,,,,
"Hudson River Park, Pier 40",42,,,,,,,,
"Hudson River Park, Pier 40",43,,,,,,,,
"Hudson River Park, Pier 84",45,,,,,,,,
"Brooklyn Bridge Park, Pier 5",46,8/14/2018,EB,,,,,,
"Brooklyn Navy Yard, BOP Base",47,8/24/2018,GK ,,,,,,
North Fifth Street Pier,48,9/15/2018,GK,,,,,,
SIMS Recycling ,49,10/13/2017,MB,,,,,,
Bushwick Inlet,50,7/7/2020,,,,,,,
North Fifth Street Pier,51,9/20/2018,EB,,,,,,
Lower East Side Ecology Center,52,9/21/2018,MB,,,,,,
West 79th Street Boat Basin,53,,,,,,,,
Lighthouse Museum,54,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,55,,,,,,,,
SUNY Maritime,57,,,,,,,,
Lighthouse Museum,58,,,,,,,,
Lower East Side Ecology Center,59,11/30/2018,MB,11/21/19,MB,,,,
Bushwick Inlet,60,7/7/2020,,,,,,,
Stuy Cove Park,61,,,,,,,,
North First Street Pier,63,6/2/2020,CCE,,,,,,
North First Street Pier,64,6/2/2020,CCE,,,,,,
WYNC Transmitter Park,64,10/13/2020,CCE,,,,,,
Richmond County Yacht Club,65,12/7/2018,MB,,,,,,
West 79th Street Boat Basin,66,3/26/2019,MB,,,,,,
"Hudson River Park, Pier 66",69,11/14/2019,MB,,,,,,
Sheepshead Bay,70,11/5/2015,MB,,,,,,
Erie Basin ,71,,,,,,,,
Inwood Canoe Club,73,10/22/2018,EB,,,,,,
Inwood Canoe Club,74,10/22/2018,EB,,,,,,
Dyckman Marina,76,10/14/2020,CCE,,,,,,
Inwood Canoe Club,76,,,,,,,,
Inwood Hill Boat Dock,76,10/22/2018,EB,,,,,,
Dyckman Marina,77,10/14/2020,CCE,,,,,,
Inwood Canoe Club,77,,,,,,,,
Muscota Marsh,77,10/22/2018,EB,,,,,,
Lighthouse Museum,78,9/28/2018,MB,,,,,,
South Street Seaport ,79,,EB,,,,,,
"Hudson River Park, Pier 40",81,9/12/2019,MB,,,,,,
East 90th St. Ferry Terminal ,82,,,,,,,,
East 90th St. Ferry Terminal ,83,3/20/2019,MB,,,,,,
North First Street Pier,83,,,,,,,,
Gantry Plaza State Park,84,3/26/2019,MB,,,,,,
Bush Terminal Park ,85,4/9/2019,MB,11/17/20,CCE,,,,
Bush Terminal Park ,86,4/9/2019,MB,,,,,,
"Hudson River Park, Pier 26",87,,,,,,,,
"Hudson River Park, Pier 66",90,,,,,,,,
"Hudson River Park, Pier 66",92,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,93,6/1/2019,IC,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,94,6/1/2019,IC,,,,,,
"Riverside Park, Pier I",95,,,,,,,,
"Hudson River Park, Pier 40",96,11/4/2019,,,,,,,
Lighthouse Museum,97,11/8/2019,,,,,,,
"Hudson River Park, Pier 40",99,10/24/2019,,,,,,,
Lower East Side Ecology Center,100,,,,,,,,
Lower East Side Ecology Center,101,,,,,,,,
Lower East Side Ecology Center,102,,,,,,,,
Lower East Side Ecology Center,103,,,,,,,,
Pier 101 Governor's Island,106,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,107,6/8/2018,EB,,,,,,
Anable Basin,108,unknown,EB,,,,,,
Pier 101 Governor's Island,108,6/8/2018,GK,,,,,,
"Brooklyn Navy Yard, Rowing Dock",109,,,,,,,,
"Brooklyn Navy Yard, Rowing Dock",110,,,,,,,,
"Brooklyn Navy Yard, Rowing Dock",111,,,,,,,,
Clason Point Park,112,8/21/2018,GK,,,,,,
North Fifth Street Pier,119,10/2/2017,MB,4/8/19,MB ,,,,
North Fifth Street Pier,120,5/1/2018,EB,,,,,,
SUNY Maritime,121,,,,,,,,
SUNY Maritime,122,,,,,,,,
SUNY Maritime,123,,,,,,,,
SUNY Maritime,124,,,,,,,,
SUNY Maritime,125,,,,,,,,
Pier 101 Governor's Island,129,6/8/2018,GK,,,,,,
Worlds Fair Marina,130,6/8/2018,EB,,,,,,
Stuy Cove Park,132,2/21/2018,MB,,,,,,
"Brooklyn Bridge Park, Pier 5",133,,,,,,,,
"Brooklyn Bridge Park, Pier 5",134,8/14/2018,GK,,,,,,
"Brooklyn Bridge Park, Pier 5",135,,,,,,,,
"Brooklyn Bridge Park, Pier 5",136,,,,,,,,
"Brooklyn Bridge Park, Pier 5",137,,,,,,,,
"Brooklyn Bridge Park, Pier 5",138,,,,,,,,
"Brooklyn Bridge Park, Pier 5",139,,,,,,,,
"Brooklyn Bridge Park, Pier 5",140,,,,,,,,
"Brooklyn Navy Yard, Rowing Dock",141,,,,,,,,
"Brooklyn Navy Yard, BOP Base",143,,,,,,,,
North Fifth Street Pier,144,10/15/2020,CCE,,,,,,
E. 107th Street Pier,145,11/1/2017,MB,5/25/2018,MB,,,,
E. 107th Street Pier,146,5/25/2018,EB,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,147,,,,,,,,
Bushwick Inlet,149,7/7/2020,,,,,,,
"Brooklyn Bridge Park, Pier 5",151,,,,,,,,
"Brooklyn Bridge Park, Pier 5",153,,,,,,,,
"Brooklyn Bridge Park, Pier 5",154,,,,,,,,
Bushwick Inlet,155,7/7/2020,,,,,,,
East 90th St. Ferry Terminal ,157,10/16/2019,MB,,,,,,
Lower East Side Ecology Center,159,,,,,,,,
Lower East Side Ecology Center,160,,,,,,,,
"Brooklyn Bridge Park, Pier 5",162,,,,,,,,
"Brooklyn Bridge Park, Pier 5",163,,,,,,,,
Gowanus Sponge Park,163,7/13/2018,GK,,,,,,
Mary Whalen ,164,,,,,,,,
"Brooklyn Navy Yard, BOP Base",165,,,,,,,,
Alley Pond Environmental Center ,167,10/6/2017,FI,,,,,,
"Brooklyn Navy Yard, BOP Base",168,10/23/2017,MB,,,,,,
"Brooklyn Navy Yard, BOP Base",169,10/23/2017,MB,,,,,,
Lower East Side Ecology Center,172,10/25/2017,CCE,,,,,,
SUNY Maritime,175,11/1/2017,MB,,,,,,
Stuy Cove Park,177,12/19/2017,MB,3/18/18,EB,1/28/19,MB,4/9/19,MB
"Brooklyn Bridge Park, Pier 5",179,,,,,,,,
Erie Basin ,179,,,,,,,,
"Brooklyn Bridge Park, Pier 5",180,,MB,,,,,,
"Brooklyn Bridge Park, Pier 5",181,,MB,,,,,,
"Brooklyn Bridge Park, Pier 5",182,10/18/19,,,,,,,
"Hudson River Park, Pier 40",183,11/4/2019,,,,,,,
"Hudson River Park, Pier 40",184,11/4/2019,,,,,,,
Anable Basin,186,,,,,,,,
East 90th St. Ferry Terminal ,187,,,,,,,,
Anable Basin,193,5/25/2018,EB,12/11/18,MB,,,,
Worlds Fair Marina,194,5/25/2018,EB,,,,,,
Baylander at West Harlem Piers,195,5/31/2018,EB,8/6/2020,??,,,,
"Brooklyn Barge, Greenpoint Brooklyn",196,5/31/2018,EB,,,,,,
"Marine Basin Marina, Gravesend Bay",200,,,,,,,,
Erie Basin ,202,,,,,,,,
Richmond County Yacht Club,204,7/31/2018,EB,,,,,,
Coney Island Creek,205,3/26/2018,EB,,,,,,
Richmond County Yacht Club,206,`      12/7/2018,MB,,,,,,
"Marine Basin Marina, Gravesend Bay",207,,,,,,,,
"Marine Basin Marina, Gravesend Bay",208,,,,,,,,
Erie Basin ,210,,,,,,,,
Erie Basin ,211,5/1/2018,EB,,,,,,
Lighthouse Museum,213,,,,,,,,
Lighthouse Museum,214,3/14/2018,EB,10/20/20,CCE,,,,
Lower East Side Ecology Center,216,8/24/2019,,,,,,,
Bay Ridge Pier ,220,4/25/2018,MB,10/28/2018,MB,,,,
Sheepshead Bay,221,4/25/2018,MB,,,,,,
Sheepshead Bay,222,4/25/2018,EB,,,,,,
Valentino Pier ,224,5/31/2018,EB,8/22/2018,EB ,,,,
Erie Basin ,225,,,,,,,,
Erie Basin ,226,,,,,,,,
Lighthouse Museum,227,,,,,,,,
Lower East Side Ecology Center,233,5/15/2019,MB,,,,,,
"Marine Basin Marina, Gravesend Bay",238,7/8/2019,IC,,,,,,
Valentino Pier ,239,7/15/2019,IC,,,,,,
"Riverside Park, Pier I",244,6/25/2019,IC,,,,,,
"Riverside Park, Pier I",245,6/25/2019,IC,,,,,,
"Hudson River Park, Pier 40",246,,,,,,,,
Salt Marsh Nature Center ,248,9/5/2019,MB ,,,,,,
Salt Marsh Nature Center ,249,9/5/2019,MB,,,,,,
Valentino Pier ,249,6/16/2017,,,,,,,
East 90th St. Ferry Terminal ,252,7/31/2019,IC,,,,,,
East 90th St. Ferry Terminal ,253,9/18/2019,MB,,,,,,
Gantry Plaza State Park,253,9/12/2019,MB,,,,,,
"Battery Park, Pier A",254,,,,,,,,
East 90th St. Ferry Terminal ,257,,,,,,,,
"Battery Park, Pier A",258,9/20/2019,MB,,,,,,
East 90th St. Ferry Terminal ,259,9/27/2019,MB,,,,,,
Erie Basin ,259,9/26/2019,MB,,,,,,
East 90th St. Ferry Terminal ,260,,,,,,,,
"Brooklyn Bridge Park, Pier 5",268,11/7/2019,MB,,,,,,
"Brooklyn Bridge Park, Pier 5",269,10/17/2019,,,,,,,
"Brooklyn Bridge Park, Pier 5",270,10/18/2019,,,,,,,
East 90th St. Ferry Terminal ,271,,,,,,,,
Baylander at West Harlem Piers,273,10/4/2019,MB,7/23/2020,??,,,,
Baylander at West Harlem Piers,274,,,,,,,,
Baylander at West Harlem Piers,275,,,,,,,,
Erie Basin ,278,,,,,,,,
Erie Basin ,279,10/24/2019,,,,,,,
Erie Basin ,280,10/24/2019,,,,,,,
E. 107th Street Pier,281,,,,,,,,
Richmond County Yacht Club,282,10/29/2019,,,,,,,
Richmond County Yacht Club,283,10/29/2019,,,,,,,
Anable Basin,284,10/30/2019,MB,,,,,,
Baylander at West Harlem Piers,285,,,,,,,,
Concrete Plant Park,286,,,,,,,,
Concrete Plant Park,287,,,,,,,,
Concrete Plant Park,288,,,,,,,,
Lighthouse Museum,291,12/3/2019,,,,,,,
Muscota Marsh,292,11/20/2019,MB,,,,,,
Worlds Fair Marina,293,11/19/2019,MB,,,,,,
"Hudson River Park, Pier 40",294,11/15/2019,MB,,,,,,
Concrete Plant Park,295,9/12/2019,MB ,,,,,,
Concrete Plant Park,296,9/12/2019,MB,,,,,,
Domino Park (S. 3rd St),297,,,,,,,,
North First Street Pier,302,8/21/2020,CCE,,,,,,
City Island Yacht Club (89 Horton St),303,8/12/2020,CCE,,,,,,
Ambrosini Field (PS 175),304,8/12/2020,CCE,,,,,,
Tier St. Pier,305,8/12/2020,CCE,,,,,,
City Island Yacht Club (Consolidated Yachts Inc),306,8/12/2020,CCE,,,,,,
Domino Park (S. 3rd St),307,,,,,,,,
"Riverside Park, Pier I",310,6/25/2019,IC,,,,,,
"Battery Park, Pier A",313,11/1/2018,MB,,,,,,
Ambrosini Field (PS 175),325,7/29/21,CCE,,,,,,
Sheepshead Bay,327,11/26/19,,,,,,,
Tier St. Pier,351,8/14/2020,CCE,,,,,,
West Fordham St. Dock,352,8/14/2020,CCE,,,,,,
City Island Yacht Club,353,8/14/2020,CCE,,,,,,
Tier St. Pier,354,8/14/2020,CCE,,,,,,
"Riverside Park, Pier I",355,9/23/2020,CCE,,,,,,
"Flushing Creek Eco-dock, Queens",357,9/29/2020,CCE,,,,,,
"Flushing Creek Eco-dock, Queens",358,9/29/2020,CCE,,,,,,
"Flushing Creek Eco-dock, Queens",359,9/29/2020,CCE,,,,,,
"Flushing Creek Eco-dock, Queens",360,9/29/2020,CCE,,,,,,
Dyckman Marina,363,,,,,,,,
West 79th Street Boat Basin,363,,,,,,,,
Dyckman Marina,364,,,,,,,,
West 79th Street Boat Basin,364,,,,,,,,
Gantry Plaza State Park,365,2/21/2018,MB,,,,,,
North Fifth Street Pier,366,10/15/2020,CCE,,,,,,
Pier 101 Governor's Island,367,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,368,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,369,6/8/2018,EB,,,,,,
Williamsburg Yacht Club,371,,,,,,,,
Williamsburg Yacht Club,372,,,,,,,,
Williamsburg Yacht Club,373,,,,,,,,
Williamsburg Yacht Club,374,,,,,,,,
Williamsburg Yacht Club,375,,,,,,,,
Williamsburg Yacht Club,376,,,,,,,,
Valentino Pier ,377,,,5/31/2018,EB ,,,,
"58th St Pier, Brooklyn Army Terminal",378,11/17/2020,CCE,, ,,,,
"Brooklyn Bridge Park, Pier 5",380,,,,,,,,
East 90th St. Ferry Terminal ,381,,,,,,,,
East 90th St. Ferry Terminal ,382,,,,,,,,
East 90th St. Ferry Terminal ,383,,,,,,,,
Erie Basin ,384,,,,,,,,
East 90th St. Ferry Terminal ,385,,,,,,,,
East 90th St. Ferry Terminal ,387,3/20/2019,MB,,,,,,
SUNY Maritime,389,,,,,,,,
SUNY Maritime,390,,,,,,,,
East 90th St. Ferry Terminal ,391,,,,,,,,
Valentino Pier ,392,,,,,,,,
Erie Basin ,398,,,,,,,,
Erie Basin ,399,,,,,,,,
Erie Basin ,400,,,,,,,,
"Hudson River Park, Pier 84",440,8/13/2021,CCE,,,,,,
"Hudson River Park, Pier 84",441,,,,,,,,
"Hudson River Park, Pier 84",442,,,,,,,,
"Hudson River Park, Pier 84",443,,,,,,,,
Domino Park (S. 3rd St),444,,,,,,,,
Domino Park (S. 3rd St),445,,,,,,,,
Domino Park (S. 3rd St),446,,,,,,,,
Domino Park (S. 3rd St),447,6/2/2020,SUNY,,,,,,
Domino Park (S. 3rd St),448,8/21/2020,CCE,,,,,,
Lower East Side Ecology Center,449,,,,,,,,
Lower East Side Ecology Center,450,,,,,,,,
Pier 101 Governor's Island,503,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,504,6/8/2018,EB,,,,,,
City Island Yacht Club,540,8/25/2021,MB?,,,,,,
Pier 101 Governor's Island,540,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,540,6/8/2018,EB,,,,,,
Tier St. Pier,540,8/25/2021,MB,,,,,,
City Island Yacht Club,545,8/25/2021,MB,,,,,,
Tier St. Pier,545,8/25/2021,MB,,,,,,
City Island Yacht Club,546,8/25/2021,MB,,,,,,
Tier St. Pier,546,8/25/2021,MB,,,,,,
East 90th St. Ferry Terminal ,599,9/14/2021,,,,,,,
"Hudson River Park, Pier 66",??,,,,,,,,
"Hudson River Park, Pier 84",cannot be found,,,,,,,,
"Battery Park, Pier A",NO TAG,,,,,,,,
Center for the Urban River at Beczak,no tag,10/26/2017,FI ,,,,,,
Gowanus Sponge Park,no tag,11/8/2018,,,,,,,
Lower East Side Ecology Center,no tag,10/4/2017,FI,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Richmond County Yacht Club,no tag,5/11/2018,MB,,,,,,
Sebago Canoe Club,no tag,11/4/2019,MB,,,,,,
Sebago Canoe Club,no tag,11/9/2017,MB ,,,,,,
Tarrytown Marina,no tag,12/12/2016,,,,,,,
Vernon Boulevard,no tag,,,,,,,,
Bushwick Inlet,TAG # TK,,Cornell,,,,,,
